Method,K,Precision,Recall,NDCG,MRR
BM25,5,0.08571428571428572,0.1461502892781017,0.14626375728292326,
BM25,10,0.09285714285714287,0.2936482874510821,0.19699830368909163,
BM25,20,0.07142857142857144,0.3009845605566771,0.19601044242683702,
BM25,50,0.052857142857142866,0.40524168536918204,0.20714478844107073,
BM25,100,0.03785714285714286,0.49269051190382207,0.22242315508147373,
ReRanker,5,0.08571428571428572,0.075020582165131,0.11923605562113741,
ReRanker,10,0.1,0.23827803403669828,0.17160118028553314,
ReRanker,20,0.0892857142857143,0.46124773032288624,0.21779784411169653,
ReRanker,50,0.07857142857142858,0.5158186626667719,0.22810569942724945,
ReRanker,100,0.06500000000000002,0.5370662238211776,0.2345650049337071,
BM25,N/A,,,,0.16650538302357207
ReRanker,N/A,,,,0.18455882352941178
