Topic,Metric,BM25,ReRanker,Difference
438,MRR,0.3333333333333333,0.5,0.16666666666666669
438,p@5,0.4,0.4,0.0
438,r@5,0.03773584905660377,0.03773584905660377,0.0
438,ndcg@5,0.30078518014914984,0.38356636737133565,0.0827811872221858
438,p@10,0.5,0.3,-0.2
438,r@10,0.09433962264150944,0.05660377358490566,-0.03773584905660378
438,ndcg@10,0.39842793454336184,0.31833954895937183,-0.08008838558399001
438,p@20,0.5,0.45,-0.04999999999999999
438,r@20,0.18867924528301888,0.16981132075471697,-0.01886792452830191
438,ndcg@20,0.43910951614480387,0.4112844868426882,-0.027825029302115667
438,p@50,0.4,0.38,-0.020000000000000018
438,r@50,0.37735849056603776,0.3584905660377358,-0.018867924528301938
438,ndcg@50,0.39370538047910364,0.3750430459645968,-0.01866233451450683
438,p@100,0.31,0.29,-0.020000000000000018
438,r@100,0.5849056603773585,0.5471698113207547,-0.037735849056603765
438,ndcg@100,0.5121042156511529,0.4787174929932546,-0.03338672265789833
450,MRR,0.007874015748031496,0.0,-0.007874015748031496
450,p@5,0.0,0.0,0.0
450,r@5,0.0,0.0,0.0
450,ndcg@5,0.0,0.0,0.0
450,p@10,0.0,0.0,0.0
450,r@10,0.0,0.0,0.0
450,ndcg@10,0.0,0.0,0.0
450,p@20,0.0,0.0,0.0
450,r@20,0.0,0.0,0.0
450,ndcg@20,0.0,0.0,0.0
450,p@50,0.0,0.0,0.0
450,r@50,0.0,0.0,0.0
450,ndcg@50,0.0,0.0,0.0
450,p@100,0.0,0.0,0.0
450,r@100,0.0,0.0,0.0
450,ndcg@100,0.0,0.0,0.0
387,MRR,0.1111111111111111,0.1111111111111111,0.0
387,p@5,0.0,0.0,0.0
387,r@5,0.0,0.0,0.0
387,ndcg@5,0.0,0.0,0.0
387,p@10,0.1,0.1,0.0
387,r@10,1.0,1.0,0.0
387,ndcg@10,0.3010299956639812,0.3010299956639812,0.0
387,p@20,0.05,0.05,0.0
387,r@20,1.0,1.0,0.0
387,ndcg@20,0.3010299956639812,0.3010299956639812,0.0
387,p@50,0.02,0.02,0.0
387,r@50,1.0,1.0,0.0
387,ndcg@50,0.3010299956639812,0.3010299956639812,0.0
387,p@100,0.01,0.01,0.0
387,r@100,1.0,1.0,0.0
387,ndcg@100,0.3010299956639812,0.3010299956639812,0.0
350,MRR,0.02,0.16666666666666666,0.14666666666666667
350,p@5,0.0,0.0,0.0
350,r@5,0.0,0.0,0.0
350,ndcg@5,0.0,0.0,0.0
350,p@10,0.0,0.1,0.1
350,r@10,0.0,0.25,0.25
350,ndcg@10,0.0,0.13905617951077562,0.13905617951077562
350,p@20,0.0,0.05,0.05
350,r@20,0.0,0.25,0.25
350,ndcg@20,0.0,0.13905617951077562,0.13905617951077562
350,p@50,0.02,0.06,0.039999999999999994
350,r@50,0.25,0.75,0.5
350,ndcg@50,0.06882065896991112,0.2885294540032478,0.21970879503333668
350,p@100,0.01,0.03,0.019999999999999997
350,r@100,0.25,0.75,0.5
350,ndcg@100,0.06882065896991112,0.2885294540032478,0.21970879503333668
331,MRR,0.013513513513513514,0.05555555555555555,0.04204204204204204
331,p@5,0.0,0.0,0.0
331,r@5,0.0,0.0,0.0
331,ndcg@5,0.0,0.0,0.0
331,p@10,0.0,0.0,0.0
331,r@10,0.0,0.0,0.0
331,ndcg@10,0.0,0.0,0.0
331,p@20,0.0,0.05,0.05
331,r@20,0.0,1.0,1.0
331,ndcg@20,0.0,0.23540891336663824,0.23540891336663824
331,p@50,0.0,0.02,0.02
331,r@50,0.0,1.0,1.0
331,ndcg@50,0.0,0.23540891336663824,0.23540891336663824
331,p@100,0.01,0.01,0.0
331,r@100,1.0,1.0,0.0
331,ndcg@100,0.1605440854340214,0.23540891336663824,0.07486482793261684
354,MRR,0.03125,0.5,0.46875
354,p@5,0.0,0.2,0.2
354,r@5,0.0,1.0,1.0
354,ndcg@5,0.0,0.6309297535714575,0.6309297535714575
354,p@10,0.0,0.1,0.1
354,r@10,0.0,1.0,1.0
354,ndcg@10,0.0,0.6309297535714575,0.6309297535714575
354,p@20,0.0,0.05,0.05
354,r@20,0.0,1.0,1.0
354,ndcg@20,0.0,0.6309297535714575,0.6309297535714575
354,p@50,0.02,0.02,0.0
354,r@50,1.0,1.0,0.0
354,ndcg@50,0.19823986317056053,0.6309297535714575,0.432689890400897
354,p@100,0.01,0.01,0.0
354,r@100,1.0,1.0,0.0
354,ndcg@100,0.19823986317056053,0.6309297535714575,0.432689890400897
406,MRR,0.2,0.058823529411764705,-0.1411764705882353
406,p@5,0.2,0.0,-0.2
406,r@5,1.0,0.0,-1.0
406,ndcg@5,0.38685280723454163,0.0,-0.38685280723454163
406,p@10,0.1,0.0,-0.1
406,r@10,1.0,0.0,-1.0
406,ndcg@10,0.38685280723454163,0.0,-0.38685280723454163
406,p@20,0.05,0.05,0.0
406,r@20,1.0,1.0,0.0
406,ndcg@20,0.38685280723454163,0.23981246656813146,-0.14704034066641017
406,p@50,0.02,0.02,0.0
406,r@50,1.0,1.0,0.0
406,ndcg@50,0.38685280723454163,0.23981246656813146,-0.14704034066641017
